OBJECTID,MESH,Latitude,Longitude,Reference,cs137_inve,landuse_co
171066,5640_3744_4_3,37.62395800000,140.93281300000,2011/7/2,201475.60940000000,70
171082,5640_3745_4_3,37.62395800000,140.94531300000,2011/7/2,130400.89060000000,20
171126,5640_3748_3_3,37.62395800000,140.97656300000,2011/7/2,105677.59380000000,100
171143,5640_3749_3_4,37.62395800000,140.99218800000,2011/7/2,68699.41406000000,100
171130,5640_3748_4_3,37.62395800000,140.98281300000,2011/7/2,86956.16406000000,20
171131,5640_3748_4_4,37.62395800000,140.98593800000,2011/7/2,78977.21094000000,20
171032,5640_3742_4_1,37.62187500000,140.90781300000,2011/7/2,402304.93750000000,20
171044,5640_3743_3_1,37.62187500000,140.91406300000,2011/7/2,347664.06250000000,20
171125,5640_3748_3_2,37.62187500000,140.97968800000,2011/7/2,101309.11720000000,100
171140,5640_3749_3_1,37.62187500000,140.98906300000,2011/7/2,73861.38281000000,10
171142,5640_3749_3_3,37.62395800000,140.98906300000,2011/7/2,73834.46094000000,10
171280,5640_3758_2_1,37.62604200000,140.98281300000,2011/7/2,85808.10938000000,10
171281,5640_3758_2_2,37.62604200000,140.98593800000,2011/7/2,78770.20313000000,10
171282,5640_3758_2_3,37.62812500000,140.98281300000,2011/7/2,84685.11719000000,10
171283,5640_3758_2_4,37.62812500000,140.98593800000,2011/7/2,77642.17969000000,10
171292,5640_3759_1_1,37.62604200000,140.98906300000,2011/7/2,73379.48438000000,10
171061,5640_3744_3_2,37.62187500000,140.92968800000,2011/7/2,208002.96880000000,20
171065,5640_3744_4_2,37.62187500000,140.93593800000,2011/7/2,185702.42190000000,70
171096,5640_3746_4_1,37.62187500000,140.95781300000,2011/7/2,118065.21090000000,100
171098,5640_3746_4_3,37.62395800000,140.95781300000,2011/7/2,116482.82810000000,100
171099,5640_3746_4_4,37.62395800000,140.96093800000,2011/7/2,121803.10160000000,100
171248,5640_3756_2_1,37.62604200000,140.95781300000,2011/7/2,113103.68750000000,100
171127,5640_3748_3_4,37.62395800000,140.97968800000,2011/7/2,99840.34375000000,70
171128,5640_3748_4_1,37.62187500000,140.98281300000,2011/7/2,85856.55469000000,70
171129,5640_3748_4_2,37.62187500000,140.98593800000,2011/7/2,79411.21094000000,50
171048,5640_3743_4_1,37.62187500000,140.92031300000,2011/7/2,253088.89060000000,110
171076,5640_3745_3_1,37.62187500000,140.93906300000,2011/7/2,164353.70310000000,20
171141,5640_3749_3_2,37.62187500000,140.99218800000,2011/7/2,68942.53906000000,50
171027,5640_3742_2_4,37.61979200000,140.91093800000,2011/7/2,364800.43750000000,110
171091,5640_3746_2_4,37.61979200000,140.96093800000,2011/7/2,124846.49220000000,50
171097,5640_3746_4_2,37.62187500000,140.96093800000,2011/7/2,122388.73440000000,50
171108,5640_3747_3_1,37.62187500000,140.96406300000,2011/7/2,138185.57810000000,50
171110,5640_3747_3_3,37.62395800000,140.96406300000,2011/7/2,129398.61720000000,50
171111,5640_3747_3_4,37.62395800000,140.96718800000,2011/7/2,129337.59380000000,50
171114,5640_3747_4_3,37.62395800000,140.97031300000,2011/7/2,123541.84380000000,50
171115,5640_3747_4_4,37.62395800000,140.97343800000,2011/7/2,112699.10940000000,50
171260,5640_3757_1_1,37.62604200000,140.96406300000,2011/7/2,117480.72660000000,50
171262,5640_3757_1_3,37.62812500000,140.96406300000,2011/7/2,112250.67190000000,50
171263,5640_3757_1_4,37.62812500000,140.96718800000,2011/7/2,110975.07810000000,50
171264,5640_3757_2_1,37.62604200000,140.97031300000,2011/7/2,113249.01560000000,50
171265,5640_3757_2_2,37.62604200000,140.97343800000,2011/7/2,104814.24220000000,50
