メッシュコード,latitude,longitude,都道府県,市区町村,測定日時,radiation
5640_4534_10,37.692524,140.675320,福島県,相馬郡飯舘村,2016-08-22 10:48,1.9E-01
5541_7001_90,37.257607,141.013530,福島県,双葉郡楢葉町,2016-08-22 10:50,8.8E-02
5540_7459_84,37.298435,140.618710,福島県,田村郡小野町,2016-08-22 10:51,1.6E-01
5640_4523_66,37.688908,140.670720,福島県,相馬郡飯舘村,2016-08-22 10:52,3.4E-01
5740_0694_28,38.077465,140.810500,宮城県,柴田郡柴田町,2016-08-22 10:53,7.5E-02
5640_2364_54,37.554405,140.430400,福島県,二本松市,2016-08-22 10:53,7.3E-01
5640_2267_77,37.555935,140.346540,福島県,安達郡大玉村,2016-08-22 10:53,1.5E-01
5640_7591_12,37.992990,140.641100,宮城県,白石市,2016-08-22 10:56,6.9E-02
5640_5633_76,37.781384,140.795820,福島県,相馬市,2016-08-22 10:58,2.5E-01
5540_5186_25,37.152440,140.206440,福島県,白河市,2016-08-22 11:00,3.3E-01
5640_4533_66,37.697117,140.670640,福島県,相馬郡飯舘村,2016-08-22 11:01,4.0E-01
5540_6510_90,37.182976,140.625120,福島県,いわき市,2016-08-22 11:03,1.0E-01
5540_3629_31,36.935966,140.863980,福島県,いわき市,2016-08-22 11:03,8.4E-02
5540_7488_29,37.318787,140.612270,福島県,田村郡小野町,2016-08-22 11:05,1.1E-01
5540_3730_45,36.945484,140.881640,福島県,いわき市,2016-08-22 11:05,8.4E-02
5640_5487_51,37.821217,140.589260,福島県,伊達市,2016-08-22 11:06,2.7E-01
5540_3628_26,36.935555,140.858520,福島県,いわき市,2016-08-22 11:06,8.2E-02
5740_1605_19,38.084217,140.824300,宮城県,柴田郡柴田町,2016-08-22 11:07,7.0E-02
5540_3639_09,36.942290,140.873980,福島県,いわき市,2016-08-22 11:07,9.4E-02
5541_7010_46,37.261795,141.007890,福島県,双葉郡楢葉町,2016-08-22 11:11,9.8E-02
5540_6429_26,37.185184,140.621060,福島県,いわき市,2016-08-22 11:11,1.4E-01
5640_5634_42,37.778854,140.802960,福島県,相馬市,2016-08-22 11:12,2.5E-01
5640_2355_48,37.545597,140.447780,福島県,二本松市,2016-08-22 11:14,3.1E-01
5640_2266_87,37.557293,140.333760,福島県,安達郡大玉村,2016-08-22 11:15,1.8E-01
5540_3619_93,36.933000,140.866550,福島県,いわき市,2016-08-22 11:15,9.6E-02
5740_0501_03,38.000618,140.641860,宮城県,白石市,2016-08-22 11:16,7.3E-02
5540_7489_37,37.319960,140.621870,福島県,田村郡小野町,2016-08-22 11:16,1.4E-01
5640_5486_19,37.818010,140.587460,福島県,伊達市,2016-08-22 11:20,2.7E-01
5540_7570_92,37.316060,140.628200,福島県,田村郡小野町,2016-08-22 11:22,1.1E-01
5740_1615_02,38.091957,140.815700,宮城県,柴田郡柴田町,2016-08-22 11:23,7.3E-02
5640_4522_17,37.684290,140.659940,福島県,相馬郡飯舘村,2016-08-22 11:24,2.0E-01
5640_4532_34,37.694250,140.655750,福島県,相馬郡飯舘村,2016-08-22 11:26,2.9E-01
5640_4548_22,37.702106,140.728260,福島県,相馬郡飯舘村,2016-08-22 11:26,4.9E-01
5640_4543_12,37.701023,140.665480,福島県,相馬郡飯舘村,2016-08-22 11:26,2.6E-01
5640_5623_10,37.768290,140.788710,福島県,相馬市,2016-08-22 11:27,3.5E-01
5640_4568_21,37.718853,140.727480,福島県,相馬郡飯舘村,2016-08-22 11:27,1.4E+00
5640_4567_47,37.720320,140.721400,福島県,相馬郡飯舘村,2016-08-22 11:27,7.5E-01
5640_2276_17,37.559853,140.333850,福島県,安達郡大玉村,2016-08-22 11:28,2.0E-01
5640_4566_16,37.717785,140.707610,福島県,相馬郡飯舘村,2016-08-22 11:28,1.4E+00
5640_4574_37,37.727745,140.684510,福島県,相馬郡飯舘村,2016-08-22 11:28,1.4E+00
5640_4574_24,37.727184,140.680860,福島県,相馬郡飯舘村,2016-08-22 11:28,1.4E+00
5640_4546_18,37.701344,140.711040,福島県,相馬郡飯舘村,2016-08-22 11:29,6.3E-01
5540_7580_45,37.320030,140.632110,福島県,田村郡小野町,2016-08-22 11:29,1.2E-01
5540_3608_48,36.920204,140.860350,福島県,いわき市,2016-08-22 11:32,7.2E-02
5740_1603_19,38.084550,140.798750,宮城県,柴田郡柴田町,2016-08-22 11:34,6.2E-02
5540_7719_99,37.266087,140.999010,福島県,双葉郡楢葉町,2016-08-22 11:34,8.2E-02
5640_5497_57,37.829617,140.596560,福島県,伊達市,2016-08-22 11:35,2.2E-01
5640_2365_59,37.554710,140.449630,福島県,二本松市,2016-08-22 11:36,3.9E-01
5540_7581_73,37.322906,140.641940,福島県,田村郡小野町,2016-08-22 11:37,1.2E-01
5540_6419_92,37.182750,140.615200,福島県,いわき市,2016-08-22 11:38,9.5E-02
5640_5622_27,37.768475,140.784160,福島県,相馬市,2016-08-22 11:39,4.1E-01
5540_6418_56,37.179623,140.608150,福島県,いわき市,2016-08-22 11:39,1.3E-01
5640_2356_73,37.547630,140.454090,福島県,二本松市,2016-08-22 11:40,2.8E-01
5640_4586_53,37.737602,140.703800,福島県,相馬郡飯舘村,2016-08-22 11:43,4.2E-01
5540_3617_83,36.932213,140.842100,福島県,いわき市,2016-08-22 11:44,9.0E-02
5740_1613_47,38.095085,140.797180,宮城県,柴田郡柴田町,2016-08-22 11:45,8.4E-02
5640_5498_61,37.830444,140.601500,福島県,伊達市,2016-08-22 11:46,2.8E-01
5740_0409_25,38.002274,140.619700,宮城県,白石市,2016-08-22 11:47,5.8E-02
5640_2287_50,37.571530,140.338410,福島県,安達郡大玉村,2016-08-22 11:48,1.8E-01
5540_7729_78,37.273247,140.998210,福島県,双葉郡楢葉町,2016-08-22 11:49,1.8E-01
5540_3627_36,36.936558,140.845150,福島県,いわき市,2016-08-22 11:51,7.6E-02
5740_1614_88,38.098730,140.810870,宮城県,柴田郡柴田町,2016-08-22 11:56,7.9E-02
5640_2376_07,37.558372,140.459720,福島県,二本松市,2016-08-22 11:59,1.3E-01
5640_6408_86,37.840412,140.607700,福島県,伊達市,2016-08-22 12:00,2.5E-01
5540_7739_08,37.275467,140.997760,福島県,双葉郡楢葉町,2016-08-22 12:01,1.6E-01
5640_2286_89,37.573444,140.336430,福島県,安達郡大玉村,2016-08-22 12:02,9.9E-02
5540_3637_56,36.945885,140.845290,福島県,いわき市,2016-08-22 12:02,9.8E-02
5640_2376_07,37.558422,140.459670,福島県,二本松市,2016-08-22 12:07,1.8E-01
5540_3638_35,36.944250,140.856370,福島県,いわき市,2016-08-22 12:14,6.4E-02
5640_2377_30,37.561010,140.462810,福島県,二本松市,2016-08-22 12:23,4.5E-01
5640_2297_33,37.578243,140.341800,福島県,安達郡大玉村,2016-08-22 12:23,1.6E-01
5640_5496_00,37.825455,140.575060,福島県,伊達市,2016-08-22 12:37,9.8E-02
5540_6106_14,37.168095,140.205320,福島県,白河市,2016-08-22 12:39,1.5E-01
5740_1625_40,38.103790,140.813640,宮城県,柴田郡柴田町,2016-08-22 12:46,8.4E-02
5740_1624_57,38.104980,140.809600,宮城県,柴田郡柴田町,2016-08-22 12:53,8.4E-02
5640_5495_09,37.825665,140.574720,福島県,伊達市,2016-08-22 12:53,1.1E-01
5540_7550_30,37.294170,140.625670,福島県,田村郡小野町,2016-08-22 12:53,8.4E-02
5541_7030_70,37.281560,141.000630,福島県,双葉郡楢葉町,2016-08-22 12:57,1.8E-01
5740_0500_61,38.005410,140.627490,宮城県,白石市,2016-08-22 13:03,1.4E-01
5740_1634_29,38.110435,140.811540,宮城県,柴田郡柴田町,2016-08-22 13:05,7.3E-02
5740_1634_48,38.111700,140.811220,宮城県,柴田郡柴田町,2016-08-22 13:11,6.2E-02
5640_6407_85,37.840700,140.593980,福島県,伊達市,2016-08-22 13:14,2.9E-01
5740_1645_12,38.118160,140.815600,宮城県,柴田郡柴田町,2016-08-22 13:22,6.2E-02
5740_0511_91,38.016212,140.639050,宮城県,白石市,2016-08-22 13:32,6.9E-02
5640_5621_66,37.771782,140.770700,福島県,相馬市,2016-08-22 13:34,3.6E-01
5540_3647_75,36.955894,140.844990,福島県,いわき市,2016-08-22 13:34,8.2E-02
5740_1644_24,38.118656,140.805000,宮城県,柴田郡柴田町,2016-08-22 13:35,6.8E-02
5640_6418_50,37.845900,140.600890,福島県,伊達市,2016-08-22 13:37,1.2E-01
5740_0521_90,38.024490,140.637910,宮城県,白石市,2016-08-22 13:43,1.6E-01
5540_3648_13,36.951527,140.854370,福島県,いわき市,2016-08-22 13:45,9.8E-02
5740_1643_12,38.117508,140.791000,宮城県,柴田郡柴田町,2016-08-22 13:50,6.8E-02
5740_0531_10,38.026203,140.638210,宮城県,白石市,2016-08-22 13:54,7.3E-02
5640_6427_43,37.853500,140.592380,福島県,伊達市,2016-08-22 13:57,1.8E-01
5740_1623_42,38.103664,140.791170,宮城県,柴田郡柴田町,2016-08-22 14:01,6.2E-02
5540_3649_25,36.952480,140.869080,福島県,いわき市,2016-08-22 14:08,6.2E-02
5740_0510_57,38.013115,140.634600,宮城県,白石市,2016-08-22 14:31,1.0E-01
5740_0531_44,38.028780,140.643590,宮城県,白石市,2016-08-22 14:31,9.3E-02
5640_2229_10,37.517960,140.362610,福島県,安達郡大玉村,2016-08-23 09:00,2.4E-01
5540_4708_10,37.001430,140.975020,福島県,いわき市,2016-08-23 09:00,9.8E-02
5540_6797_23,37.243694,140.966500,福島県,双葉郡楢葉町,2016-08-23 09:01,2.5E-01
5540_4708_10,37.001118,140.975390,福島県,いわき市,2016-08-23 09:01,1.1E-01
5540_7707_95,37.258186,140.969180,福島県,双葉郡楢葉町,2016-08-23 09:02,2.3E-01
5540_7727_96,37.274610,140.970320,福島県,双葉郡楢葉町,2016-08-23 09:03,1.8E-01
5540_7717_79,37.264770,140.974040,福島県,双葉郡楢葉町,2016-08-23 09:03,2.7E-01
5540_7737_58,37.279330,140.972730,福島県,双葉郡楢葉町,2016-08-23 09:04,2.6E-01
5640_5462_63,37.805473,140.529420,福島県,伊達市,2016-08-23 09:06,1.5E-01
5640_0404_84,37.340363,140.555790,福島県,田村郡小野町,2016-08-23 09:06,1.1E-01
5640_0403_48,37.337032,140.548600,福島県,田村郡小野町,2016-08-23 09:06,1.1E-01
5640_5461_57,37.804634,140.521600,福島県,伊達市,2016-08-23 09:07,3.9E-01
5640_0424_30,37.352715,140.551000,福島県,田村郡小野町,2016-08-23 09:07,1.1E-01
5640_0414_17,37.342640,140.559980,福島県,田村郡小野町,2016-08-23 09:07,1.2E-01
5540_3798_11,36.992977,140.977000,福島県,いわき市,2016-08-23 09:09,2.1E-01
5640_4693_28,37.743748,140.797960,福島県,相馬郡飯舘村,2016-08-23 09:12,4.1E-01
5540_7738_97,37.282900,140.984150,福島県,双葉郡楢葉町,2016-08-23 09:14,2.1E-01
5640_4694_10,37.742960,140.800900,福島県,相馬郡飯舘村,2016-08-23 09:15,3.0E-01
5640_2238_04,37.525303,140.355850,福島県,安達郡大玉村,2016-08-23 09:16,1.4E-01
5540_3797_38,36.994404,140.972560,福島県,いわき市,2016-08-23 09:17,1.1E-01
5640_4684_64,37.738750,140.805760,福島県,相馬郡飯舘村,2016-08-23 09:18,1.9E-01
5540_7748_75,37.289764,140.981450,福島県,双葉郡楢葉町,2016-08-23 09:24,1.8E-01
5640_0405_50,37.337680,140.562880,福島県,田村郡小野町,2016-08-23 09:25,9.4E-02
5640_7564_97,37.974533,140.683960,宮城県,白石市,2016-08-23 09:27,1.3E-01
5640_3237_55,37.613064,140.343950,福島県,二本松市,2016-08-23 09:27,1.3E-01
5640_5645_03,37.783436,140.816770,福島県,相馬市,2016-08-23 09:28,1.9E-01
5640_2229_49,37.520576,140.373800,福島県,安達郡大玉村,2016-08-23 09:28,2.2E-01
5540_3796_35,36.994965,140.956950,福島県,いわき市,2016-08-23 09:28,1.6E-01
5640_5473_61,37.813553,140.539800,福島県,伊達市,2016-08-23 09:30,1.0E-01
5740_1608_32,38.086117,140.853150,宮城県,岩沼市,2016-08-23 09:31,7.0E-02
5540_6184_12,37.234770,140.177960,福島県,白河市,2016-08-23 09:34,1.4E-01
5640_2320_64,37.522144,140.380740,福島県,安達郡大玉村,2016-08-23 09:35,3.0E-01
5540_6183_20,37.235294,140.163640,福島県,白河市,2016-08-23 09:35,2.2E-01
5540_6182_39,37.235962,140.161870,福島県,白河市,2016-08-23 09:36,2.8E-01
5540_6181_76,37.239532,140.146070,福島県,白河市,2016-08-23 09:36,1.6E-01
5540_7494_36,37.328182,140.558270,福島県,田村郡小野町,2016-08-23 09:38,1.4E-01
5640_7574_08,37.975517,140.685170,宮城県,白石市,2016-08-23 09:39,1.3E-01
5740_1607_23,38.085564,140.842220,宮城県,岩沼市,2016-08-23 09:40,8.4E-02
5540_6562_75,37.222690,140.656740,福島県,いわき市,2016-08-23 09:42,1.3E-01
5640_2330_76,37.531372,140.382680,福島県,安達郡大玉村,2016-08-23 09:44,3.5E-01
5640_5472_21,37.810720,140.526470,福島県,伊達市,2016-08-23 09:46,2.9E-01
5540_7758_45,37.295483,140.981500,福島県,双葉郡楢葉町,2016-08-23 09:46,3.8E-01
5640_3238_66,37.613777,140.358300,福島県,二本松市,2016-08-23 09:48,1.3E-01
5640_4675_53,37.729940,140.816790,福島県,相馬郡飯舘村,2016-08-23 09:48,4.5E-01
5740_1606_58,38.087677,140.835390,宮城県,岩沼市,2016-08-23 09:49,6.4E-02
5640_4589_36,37.735847,140.745000,福島県,相馬郡飯舘村,2016-08-23 09:49,1.9E-01
5640_4588_37,37.736210,140.734330,福島県,相馬郡飯舘村,2016-08-23 09:49,3.5E-01
5640_5636_26,37.777336,140.832600,福島県,相馬市,2016-08-23 09:53,2.0E-01
5640_2351_30,37.544820,140.388100,福島県,安達郡大玉村,2016-08-23 09:53,1.8E-01
5540_7484_75,37.323257,140.557080,福島県,田村郡小野町,2016-08-23 09:53,1.4E-01
5640_7573_93,37.982677,140.666490,宮城県,白石市,2016-08-23 09:55,1.3E-01
5540_7757_69,37.297325,140.974760,福島県,双葉郡楢葉町,2016-08-23 09:55,3.6E-01
5740_1617_16,38.092644,140.845890,宮城県,岩沼市,2016-08-23 10:00,8.1E-02
5640_5463_76,37.806393,140.545970,福島県,伊達市,2016-08-23 10:00,1.6E-01
5540_3787_65,36.988740,140.969740,福島県,いわき市,2016-08-23 10:01,4.6E-02
5640_2350_20,37.543858,140.375810,福島県,安達郡大玉村,2016-08-23 10:02,2.8E-01
5540_7485_50,37.321606,140.562870,福島県,田村郡小野町,2016-08-23 10:03,1.5E-01
5540_6175_31,37.227554,140.189760,福島県,白河市,2016-08-23 10:03,1.7E-01
5540_6174_68,37.230600,140.185230,福島県,白河市,2016-08-23 10:04,2.5E-01
5540_6166_13,37.217907,140.204500,福島県,白河市,2016-08-23 10:04,1.9E-01
5640_3228_54,37.604744,140.355530,福島県,二本松市,2016-08-23 10:05,6.5E-02
5540_6165_67,37.222458,140.197190,福島県,白河市,2016-08-23 10:05,2.2E-01
5540_7768_54,37.304730,140.980090,福島県,双葉郡楢葉町,2016-08-23 10:09,5.1E-01
5740_1616_38,38.094486,140.835890,宮城県,岩沼市,2016-08-23 10:10,5.1E-02
5640_7571_68,37.980340,140.648010,宮城県,白石市,2016-08-23 10:10,1.5E-01
5640_2340_85,37.540607,140.382140,福島県,安達郡大玉村,2016-08-23 10:10,2.1E-01
5540_7495_92,37.332615,140.565600,福島県,田村郡小野町,2016-08-23 10:12,1.4E-01
5540_3786_37,36.986340,140.958910,福島県,いわき市,2016-08-23 10:12,1.4E-01
5640_5627_80,37.773930,140.837950,福島県,相馬市,2016-08-23 10:14,1.4E-01
